"Date of Case",Reference,"Notification From","Country Origin",Product,"Product Category","Hazard Substance","Hazard Category"
"Mar 13, 2024","2024.1841",Norway,"United States","Food Supplement","Dietetic foods, food supplements and fortified foods",,
"Mar 13, 2024","2024.1840",Germany,"Türkiye","Vine leaves","Fruits and vegetables","Emamectin - pesticide residues","Pesticide residues"
"Mar 13, 2024","2024.1839",Portugal,Ecuador,"Cooked shrimp 20-30","Crustaceans and products thereof","Sulphite - too high content - food additives and flavourings","Food additives and flavourings"
"Mar 13, 2024","2024.1838",Finland,"Türkiye","Dried Fig","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Mar 12, 2024","2024.1837",Norway,Pakistan,"Basmati Rice","Cereals and bakery products","Imidaclopride - pesticide residues; Thiamethoxam - pesticide residues","Pesticide residues; Pesticide residues"
"Mar 12, 2024","2024.1836",Belgium,Canada,Soybeans,"Nuts, nut products and seeds","Ochratoxin A - mycotoxins",Mycotoxins
"Mar 12, 2024","2024.1835",Switzerland,Egypt,Oranges,"Fruits and vegetables","Chlorpyrifos - unauthorised substance - pesticide residues; Dimethoate - pesticide residues","Pesticide residues; Pesticide residues"
"Mar 12, 2024","2024.1834",Poland,Ukraine,"Sunflower cake","Feed materials","Salmonella Senftenberg - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 12, 2024","2024.1832",Germany,Vietnam,"Rice noodles","Cereals and bakery products","Genetically modified - unauthorised - genetically modified","Genetically modified"
"Mar 12, 2024","2024.1831",Belgium,Netherlands,Oysters,"Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 12, 2024","2024.1829",Finland,Ireland,"Live oysters","Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 12, 2024","2024.1828",Belgium,"Türkiye","Laurel leaves","Herbs and spices","Ethylene oxide - pesticide residues","Pesticide residues"
"Mar 12, 2024","2024.1827",Germany,Germany,"Complete feed for piglets","Feed materials","Zinc - too high content - composition",Composition
"Mar 12, 2024","2024.1826",Belgium,Germany,"Vitamin D & K Olive drops","Dietetic foods, food supplements and fortified foods","Vitamin D - too high content - composition",Composition
"Mar 12, 2024","2024.1822",Ireland,China,"Kitchen tongs","Food contact materials","Primary aromatic amines - migration - migration",Migration
"Mar 12, 2024","2024.1817",Bulgaria,"Türkiye","Vine leaves","Fruits and vegetables","Pyrimethanil - pesticide residues","Pesticide residues"
"Mar 12, 2024","2024.1809",Hungary,Germany,"„Happy Harvest Sesam” Crispy, extruded flatbread, made of wholemeal rye flour with sesame seeds 250g","Cereals and bakery products","Acrylamide - high level - industrial contaminants","Industrial contaminants"
"Mar 12, 2024","2024.1808",Cyprus,Poland,"Canned whiskey cola","Alcoholic beverages",,
"Mar 12, 2024","2024.1805",Estonia,India,"Soya sauce","Soups, broths, sauces and condiments",,
"Mar 12, 2024","2024.1804",Estonia,India,"Fenugreek leaves","Herbs and spices",,
"Mar 12, 2024","2024.1803",Estonia,India,Cumin,"Herbs and spices",,
"Mar 12, 2024","2024.1802",Estonia,India,"Coriander seed whole","Herbs and spices",,
"Mar 12, 2024","2024.1801",Estonia,India,"Bay leaves","Herbs and spices",,
"Mar 12, 2024","2024.1800",Estonia,India,"Clove whole","Herbs and spices",,
"Mar 12, 2024","2024.1799",Estonia,India,"Ajwain/carom whole","Herbs and spices",,
"Mar 12, 2024","2024.1798",Italy,India,"Capsicum annuum","Fruits and vegetables","Acetamiprid - pesticide residues; Ethion - pesticide residues; Fipronil - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Mar 12, 2024","2024.1312",Netherlands,Spain,"Palm fatty acids","Fats and oils","Dioxins - industrial contaminants","Industrial contaminants"
"Mar 11, 2024","2024.1797",Ireland,Brazil,"Guarana Antartica","Non-alcoholic beverages","E 210 - benzoic acid - too high content - food additives and flavourings","Food additives and flavourings"
"Mar 11, 2024","2024.1796",Netherlands,Argentina,"Groundnut kernels","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Mar 11, 2024","2024.1795","Czech Republic",India,"Cumin powder","Herbs and spices","Pyrrolizidine alkaloids - biological contaminants","Biological contaminants"
"Mar 11, 2024","2024.1794",Italy,Italy,"Chocolate biscuits","Cereals and bakery products",,
"Mar 11, 2024","2024.1793",Germany,Spain,"Sliced almonds","Fruits and vegetables","Salmonellen - pathogenic micro-organisms; Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Mar 11, 2024","2024.1792",Netherlands,Norway,"Smoked salmon flakes","Fish and products thereof",,
"Mar 11, 2024","2024.1791",Italy,Taiwan,"Goma Wakame - Seasoned Seaweed Salad","Fruits and vegetables","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 11, 2024","2024.1790",Austria,Egypt,"Jungzwiebel /// spring onion","Fruits and vegetables","Carbofuran - pesticide residues","Pesticide residues"
"Mar 11, 2024","2024.1789",Germany,"Türkiye","Pistachio powder","Nuts, nut products and seeds","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 11, 2024","2024.1788",Germany,"Türkiye","Sesame paste","Nuts, nut products and seeds","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 11, 2024","2024.1787",Poland,Ukraine,"Malina mrożona /// Frozen raspberry","Fruits and vegetables","Moulds - infested with - non-pathogenic micro-organisms","Non-pathogenic micro-organisms"
"Mar 11, 2024","2024.1786",Germany,France,"Pistachio powder","Nuts, nut products and seeds","Listeria monocytogenes - pathogenic micro-organisms; Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins; Ochratoxin A - mycotoxins","Pathogenic micro-organisms; Mycotoxins; Mycotoxins; Mycotoxins"
"Mar 11, 2024","2024.1784",Belgium,Madagascar,"Cow peas (Vigna unguiculata)","Fruits and vegetables","Carbaryl - pesticide residues; Chlorpyrifos - unauthorised substance - pesticide residues; Dimethoate - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Mar 11, 2024","2024.1780",Finland,France,"Live oysters","Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 11, 2024","2024.1779",Belgium,Netherlands,"Frozen breath","Cereals and bakery products",,
"Mar 11, 2024","2024.1760",Romania,Hungary,"Piept de rata congelata / Frozen duck breast","Poultry meat and poultry meat products","Salmonella spp - pathogenic micro-organisms; Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Mar 11, 2024","2024.1758",Netherlands,Romania,"Dietary Supplement Pills","Dietetic foods, food supplements and fortified foods","Glycidyl esters - industrial contaminants","Industrial contaminants"
"Mar 11, 2024","2024.1757",Netherlands,Colombia,"Avocado Hass","Fruits and vegetables","Lambda-cyhalothrin - pesticide residues; Cypermethrin - pesticide residues","Pesticide residues; Pesticide residues"
"Mar 11, 2024","2024.1756",Greece,Sudan,"SESAME SEEDS","Nuts, nut products and seeds",,
"Mar 11, 2024","2024.1755",Italy,Italy,"Formaggio//Cheese","Milk and milk products","Escherichia coli shigatoxin-producing - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 11, 2024","2024.1753",Germany,Bulgaria,"Sheep's cheese packaging","Food contact materials","1-hydroxy-cyclohexyl phenyl ketone - migration - migration; Methyl-2-benzoylbenzoate - migration - migration","Migration; Migration"
"Mar 11, 2024","2024.1750",Netherlands,Netherlands,Veal,"Meat and meat products (other than poultry)",,
"Mar 11, 2024","2024.1749",Netherlands,Paraguay,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Mar 11, 2024","2024.1741",Bulgaria,"Türkiye","Lemons (Citrus limon, Citrus limonum)","Fruits and vegetables","Imazalil - pesticide residues","Pesticide residues"
"Mar 11, 2024","2024.1740",Netherlands,Paraguay,Groundnutkernels,"Nuts, nut products and seeds","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Mar 11, 2024","2024.1738",Bulgaria,"Türkiye","Lemons (Citrus limon, Citrus limonum)","Fruits and vegetables","Imazalil - pesticide residues","Pesticide residues"
"Mar 11, 2024","2024.1011",Netherlands,Netherlands,"Wild boar burger / steak haché de sanglier","Meat and meat products (other than poultry)","Salmonella - non-pathogenic micro-organisms","Non-pathogenic micro-organisms"
"Mar 8, 2024","2024.1734",Finland,Ukraine,"Sunflower meal, in bulk","Feed materials","Salmonella Agona - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 8, 2024","2024.1733",Belgium,,Coffee,"Cocoa and cocoa preparations, coffee and tea","Ochratoxin A - mycotoxins",Mycotoxins
"Mar 8, 2024","2024.1732",Norway,"United States","Food Supplement","Dietetic foods, food supplements and fortified foods",,
"Mar 8, 2024","2024.1730",Belgium,Netherlands,Oysters,"Bivalve molluscs and products thereof",,
"Mar 8, 2024","2024.1729",France,Morocco,Peppers,"Other food product / mixed","Imidacloprid - pesticide residues","Pesticide residues"
"Mar 8, 2024","2024.1728",Belgium,Belgium,"Several types of bread","Cereals and bakery products",,
"Mar 8, 2024","2024.1727",France,Belgium,"Ground cardamom","Herbs and spices","Anthraquinone - pesticide residues","Pesticide residues"
"Mar 8, 2024","2024.1726",France,Netherlands,"TOMME DE BERRY NOISETTE","Milk and milk products",,
"Mar 8, 2024","2024.1725",Bulgaria,Denmark,"Complementary feed for dogs and cats","Pet food",,
"Mar 8, 2024","2024.1724",Netherlands,Paraguay,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Mar 8, 2024","2024.1691",Bulgaria,"Türkiye","Lemons (Citrus limon, Citrus limonum)","Fruits and vegetables","Imazalil - pesticide residues","Pesticide residues"
"Mar 8, 2024","2024.1690",Bulgaria,"Türkiye","Lemons (Citrus limon, Citrus limonum)","Fruits and vegetables","Imazalil - pesticide residues","Pesticide residues"
"Mar 8, 2024","2024.1689",Bulgaria,"Türkiye","Lemons (Citrus limon, Citrus limonum)","Fruits and vegetables","Imazalil - pesticide residues","Pesticide residues"
"Mar 8, 2024","2024.1684",Cyprus,Egypt,"Fresh Red Peppers (capsicum annuum)","Fruits and vegetables","Iprodione - pesticide residues; Propargite - pesticide residues","Pesticide residues; Pesticide residues"
"Mar 8, 2024","2024.1682",Netherlands,Netherlands,Bread,"Cereals and bakery products",,
"Mar 7, 2024","2024.1660",Estonia,Poland,"FRESH CKN FILLET 2,5KG MAP","Poultry meat and poultry meat products","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 7, 2024","2024.1659",Germany,France,"Linseed flour","Nuts, nut products and seeds","Cyanide - high content - composition",Composition
"Mar 7, 2024","2024.1658",Poland,Spain,"Raw, frozen pork","Meat and meat products (other than poultry)","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 7, 2024","2024.1655",Germany,"Türkiye",Pomegranate,"Fruits and vegetables","Acetamiprid - pesticide residues","Pesticide residues"
"Mar 7, 2024","2024.1652",Sweden,Italy,"Fresh chilled pizza","Prepared dishes and snacks",,
"Mar 7, 2024","2024.1645",Italy,Egypt,"Groundnuts in shell","Nuts, nut products and seeds","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Mar 7, 2024","2024.1644",Netherlands,Paraguay,"Groundnutkernels Paraguay Runner","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Mar 7, 2024","2024.1642",Cyprus,Egypt,"Mango Nectar","Non-alcoholic beverages","E 200 - sorbic acid - unauthorised - food additives and flavourings; E 210 - benzoic acid - unauthorised - food additives and flavourings","Food additives and flavourings; Food additives and flavourings"
"Mar 7, 2024","2024.1641",Romania,Ukraine,"Mere proaspete","Fruits and vegetables","Chlorpyrifos - pesticide residues","Pesticide residues"
"Mar 7, 2024","2024.1639",Norway,Kenya,"Peppers (other than sweet) (Capsicum spp.)","Fruits and vegetables","Carbendazim - unauthorised substance - pesticide residues","Pesticide residues"
"Mar 7, 2024","2024.1638",Belgium,Belgium,"Chicken filet","Poultry meat and poultry meat products",,
"Mar 7, 2024","2024.1631",Spain,Spain,"Pez espada / swordfish","Fish and products thereof","Mercury - heavy metals","Heavy metals"
"Mar 7, 2024","2024.1624",France,India,Octopus,"Cephalopods and products thereof","Cadmium - heavy metals","Heavy metals"
"Mar 6, 2024","2024.1620",Spain,Thailand,"Plastic tableware","Food contact materials","Formaldehyde - migration - migration",Migration
"Mar 6, 2024","2024.1619",Spain,Pakistan,Rice,"Cereals and bakery products","Aflatoxin B1 - mycotoxins",Mycotoxins
"Mar 6, 2024","2024.1618",Germany,Mexico,"Long beans","Fruits and vegetables","Acephate - unauthorised substance - pesticide residues; Methamidophos - unauthorised substance - pesticide residues; Bifenthrin - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Mar 6, 2024","2024.1617",Netherlands,Netherlands,"Frozen black brioche buns","Cereals and bakery products",,
"Mar 6, 2024","2024.1616",France,France,CHEESE,"Milk and milk products",,
"Mar 6, 2024","2024.1615",Poland,Malaysia,"Suplementy diety","Dietetic foods, food supplements and fortified foods",,
"Mar 6, 2024","2024.1614",Germany,Cameroon,"Manioc flour","Other food product / mixed","Cyanide - too high content - composition",Composition
"Mar 6, 2024","2024.1613",Belgium,France,Oysters,"Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 6, 2024","2024.1612",Denmark,China,"Shiitake mushrooms","Fruits and vegetables","E220- sulfur dioxide - too high content - food additives and flavourings","Food additives and flavourings"
"Mar 6, 2024","2024.1610",Netherlands,Paraguay,"Groundnut Kernels","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Mar 6, 2024","2024.1609",Netherlands,"United Kingdom","Honey & Mustard Dressing","Soups, broths, sauces and condiments",,
"Mar 6, 2024","2024.1607",Netherlands,"Iran; Netherlands",Pistachios,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins; Ochratoxin A - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins"
"Mar 6, 2024","2024.1606",Portugal,Venezuela,"Chilled cooked whiteleg shrimps (Litopenaeus vannamei)","Crustaceans and products thereof","Sulphite - too high content - food additives and flavourings","Food additives and flavourings"
"Mar 6, 2024","2024.1601",Portugal,Senegal,"Fish products","Fish and products thereof",,
"Mar 6, 2024","2024.1599",Portugal,Ghana,Epinephelus,"Fish and products thereof",,
"Mar 6, 2024","2024.1598",Portugal,Brazil,"Pitahaya (dragon fruit)","Fruits and vegetables","Thiophanate-methyl - pesticide residues","Pesticide residues"
"Mar 6, 2024","2024.1596",Switzerland,Uganda,"Peppers (other than sweet) (Capsicum spp.)","Fruits and vegetables","Lambda-cyhalothrin - pesticide residues; Cypermethrin - pesticide residues","Pesticide residues; Pesticide residues"
"Mar 6, 2024","2024.1594",Switzerland,India,"Drumsticks (Moringa oleifera)","Fruits and vegetables","Monocrotophos - unauthorised substance - pesticide residues; Methamidophos - unauthorised substance - pesticide residues; Acephate - unauthorised substance - pesticide residues; Fipronil - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Mar 6, 2024","2024.1592",Switzerland,Kenya,"Peppers (other than sweet) (Capsicum spp.)","Fruits and vegetables","Acephate - unauthorised substance - pesticide residues; Methamidophos - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues"
"Mar 6, 2024","2024.1591",Germany,Germany,"Hamburger Patties","Meat and meat products (other than poultry)","Escherichia coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 6, 2024","2024.1590",Croatia,"Bosnia and Herzegovina","Wild Blueberry jam","Other food product / mixed",,
"Mar 5, 2024","2024.1588",Spain,France,"OSTRA RIZADA (Crassostrea Gigas) / Curly Oyster (Crassostrea Gigas)","Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 5, 2024","2024.1587",France,Netherlands,"Fish feed","Compound feeds","DNA ruminant - presence - TSEs; DNA ruminant - presence - TSEs","TSEs; TSEs"
"Mar 5, 2024","2024.1586",Finland,Italy,"PAP, Turkey meal","Feed materials","Salmonella Mbandaka - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 5, 2024","2024.1585",Belgium,Ecuador,"Penaeus (Litopenaeus) vannamei","Crustaceans and products thereof","Sulphite - improperly declared - allergens",Allergens
"Mar 5, 2024","2024.1584",Norway,"United States","Food Supplement","Dietetic foods, food supplements and fortified foods",,
"Mar 5, 2024","2024.1583",Sweden,,"Butterfly Pea Flower","Cocoa and cocoa preparations, coffee and tea",,
"Mar 5, 2024","2024.1582",Italy,China,"Insalata di alga marina congelata","Fruits and vegetables","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 5, 2024","2024.1581",Italy,China,"Melamine bowls","Food contact materials","Melamine - migration - migration",Migration
"Mar 5, 2024","2024.1580",Netherlands,Poland,"Multiple smoothies","Fruits and vegetables","Patulin - mycotoxins; Patulin - mycotoxins; Patulin - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins"
"Mar 5, 2024","2024.1579",Poland,China,"ŁOSOŚ (Oncorhynchus gorbuscha)/// SALMON (Oncorhynchus gorbuscha)","Fish and products thereof",,
"Mar 5, 2024","2024.1578",Poland,Kenya,"Black Tea","Cocoa and cocoa preparations, coffee and tea","Pyrrolizidine alkaloids - biological contaminants","Biological contaminants"
"Mar 5, 2024","2024.1577",Sweden,Jordan,"Mixed herbs","Herbs and spices",,
"Mar 5, 2024","2024.1574",France,Belgium,"Dried oregano.","Herbs and spices","Pyrrolizidine alkaloids - biological contaminants","Biological contaminants"
"Mar 5, 2024","2024.1571",Sweden,Egypt,"White oranges","Fruits and vegetables","Dimethoate - pesticide residues","Pesticide residues"
"Mar 5, 2024","2024.1570",France,France,"Ice cream cones","Ices and desserts",,
"Mar 5, 2024","2024.1569",Belgium,France,Sorghum,"Feed materials","Thorn-apple (Datura stramonium L) seeds - too high content - biotoxins (other)","Biotoxins (other)"
"Mar 5, 2024","2024.1568",Latvia,"Türkiye","Bay leaves","Herbs and spices","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 5, 2024","2024.1566",Italy,Germany,"Snack cereali e cioccolato fondente","Cereals and bakery products",,
"Mar 5, 2024","2024.1565","Czech Republic","Czech Republic","Chicken liver and chicken stomach","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 5, 2024","2024.1564",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 5, 2024","2024.1563",Belgium,Netherlands,Oysters,"Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 5, 2024","2024.1561",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 5, 2024","2024.1560",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 5, 2024","2024.1559",Netherlands,Latvia,Meat,"Meat and meat products (other than poultry)",,
"Mar 5, 2024","2024.1558",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 5, 2024","2024.1557",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 5, 2024","2024.1556",Croatia,Pakistan,"BASMATI RICE","Cereals and bakery products","Chlorpyriphos-ethyl - pesticide residues","Pesticide residues"
"Mar 5, 2024","2024.1555",France,"Türkiye","Pizza box","Food contact materials","Lead - migration - migration; Phthalate DEHP - di(2-ethylhexyl) - migration - migration; Phthalate DBP - dibutyl - migration - migration; Phthalate DIBP - diisobutyl - migration - migration; Phthalate DINP - di-isononyl - migration - migration; Phthalate DIDP - diisodecyl - migration - migration; 1-hydroxy-cyclohexyl phenyl ketone - migration - migration; Bisphenol A - migration - migration","Migration; Migration; Migration; Migration; Migration; Migration; Migration; Migration"
"Mar 5, 2024","2024.1554",Netherlands,Belgium,"Wahid Chicken Grill","Poultry meat and poultry meat products",,
"Mar 4, 2024","2024.1548",Poland,Poland,"Filet z piersi kurczaka/chicken breast fillet","Poultry meat and poultry meat products","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1547",France,Kenya,"Green beans, wax beans and string beans","Fruits and vegetables","Acephate - unauthorised substance - pesticide residues","Pesticide residues"
"Mar 4, 2024","2024.1546",France,France,"Coconut milk and chocolate dessert","Milk and milk products",,
"Mar 4, 2024","2024.1545",France,"Türkiye","Dried Figs","Fruits and vegetables","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Mar 4, 2024","2024.1544",Belgium,Netherlands,"Soy hulls","Feed premixtures","Salmonella - Salmonella Mbandaka - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1543",France,India,"Betel leaves (Piper betle L.)","Herbs and spices","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1542",France,Ireland,"Irish mussels","Bivalve molluscs and products thereof","Escherichia coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1541",France,Senegal,Fish,"Fish and products thereof","Mercury - heavy metals","Heavy metals"
"Mar 4, 2024","2024.1540",France,India,"Cumin seeds","Herbs and spices","Acetamiprid - pesticide residues; Carbendazim - unauthorised substance - pesticide residues; Chlorpyrifos - unauthorised substance - pesticide residues; Clothianidin - pesticide residues; Imidacloprid - pesticide residues; Kresoxim-methyl - pesticide residues; Metalaxyl - pesticide residues; Thiamethoxam - pesticide residues; Tricyclazole - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Mar 4, 2024","2024.1539",Netherlands,China,"Obtained from rice","Cereals and bakery products","Genetically modified - unauthorised - genetically modified","Genetically modified"
"Mar 4, 2024","2024.1535",Netherlands,China,"Cumin Powder","Herbs and spices","Chlorpyrifos - pesticide residues; Propamocarb - pesticide residues; Tricyclazole - unauthorised substance - pesticide residues; Thiamethoxam - pesticide residues; Pyraclostrobin - pesticide residues; Imidacloprid - pesticide residues; Carbendazim - pesticide residues; Acetamiprid - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Mar 4, 2024","2024.1533",Belgium,Netherlands,"Raw Pet Food","Pet food","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1531",Spain,Morocco,Fresas,"Fruits and vegetables","Hepatitis A virus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1530",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 4, 2024","2024.1529",Netherlands,China,"Shelled, whether or not broken","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Mar 4, 2024","2024.1526",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 4, 2024","2024.1521",Italy,China,"SPAGHETTI ISTANTANEI “SCALLION BRAISED RIBS NOODLE WITH SHALLOT FLAVOR”","Other food product / mixed",,
"Mar 4, 2024","2024.1520",Italy,Croatia,"Tartufo di mare (venus verrucosa)","Bivalve molluscs and products thereof","Norovirus - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 4, 2024","2024.1519",Italy,China,"Patatine al gusto di bistecca/steak flavoured chips","Prepared dishes and snacks","Import - illegal - adulteration / fraud","Adulteration / fraud"
"Mar 4, 2024","2024.1518",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 4, 2024","2024.1517",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 4, 2024","2024.1514",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 2, 2024","2024.1510",Netherlands,Netherlands,"Frozen chopped spinach","Fruits and vegetables","Fragments metal wire - foreign bodies","Foreign bodies"
"Mar 2, 2024","2024.1509",Netherlands,Netherlands,Bread,"Cereals and bakery products",,
"Mar 2, 2024","2024.1508",Netherlands,Uruguay,Beef,"Meat and meat products (other than poultry)","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 1, 2024","2024.1507",Lithuania,Denmark,Fishmeal,"Feed materials","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 1, 2024","2024.1505",Sweden,Uruguay,"Fresh beef cuts","Meat and meat products (other than poultry)",,
"Mar 1, 2024","2024.1504",Germany,"United States","Walnut kernels (raw material)","Nuts, nut products and seeds","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 1, 2024","2024.1503",Italy,Italy,"SALSA DI NOCI","Soups, broths, sauces and condiments","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Mar 1, 2024","2024.1502",Netherlands,Taiwan,"Flavouring powders, cream foam swirls","Other food product / mixed",,
"Mar 1, 2024","2024.1501",Germany,,"Rinderabschnitte - beef trimmings","Meat and meat products (other than poultry)","Salmonella - non-pathogenic micro-organisms","Non-pathogenic micro-organisms"
"Mar 1, 2024","2024.1500",Germany,"Türkiye","Organic sultanas","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Mar 1, 2024","2024.1499",Switzerland,Italy,"Cooked ham","Meat and meat products (other than poultry)",,
"Mar 1, 2024","2024.1498",France,,"Cooked ham","Meat and meat products (other than poultry)",,
"Mar 1, 2024","2024.1497",Germany,Greece,"Vine leaves","Fruits and vegetables","Chlorpyrifos - pesticide residues","Pesticide residues"
"Mar 1, 2024","2024.1496",Latvia,India,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Dietetic foods, food supplements and fortified foods",,
"Mar 1, 2024","2024.1493",Croatia,Slovenia,"Natural mineral water","Water for human consumption (other)","Abnormal smell - organoleptic aspects","Organoleptic aspects"
"Mar 1, 2024","2024.1492",Netherlands,Netherlands,"Orange juice","Non-alcoholic beverages",,
